Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Achanta,56,SATYANARAYANA PITHANI,Telugu Desami,CHERUKUVADA SRI RANGANADHA RAJU,"Yuvajana Sramika Rythu Congress Party
i",26554,14/14,Result Declared
Addanki,105,GOTTIPATI RAVI KUMAR,Telugu Desami,CHINNA HANIMIREDDY PANEM,"Yuvajana Sramika Rythu Congress Party
i",24890,22/22,Result Declared
Adoni,146,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Partyi,Y. SAI PRASAD REDDY,"Yuvajana Sramika Rythu Congress Party
i",18164,19/19,Result Declared
Allagadda,134,AKHILA PRIYA BHUMA,Telugu Desami,BRIJENDRA REDDY GANGULA (NANI),"Yuvajana Sramika Rythu Congress Party
i",12037,22/22,Result Declared
Alur,147,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Partyi,B. VEERABHADRA GOWD,"Telugu Desam
i",2831,21/21,Result Declared
Amadalavalasa,6,KOONA RAVI KUMAR,Telugu Desami,THAMMINENI SEETARAM,"Yuvajana Sramika Rythu Congress Party
i",35032,19/19,Result Declared
Amalapuram,44,AITHABATHULA ANANDARAO,Telugu Desami,VISWARUPU PINIPE,"Yuvajana Sramika Rythu Congress Party
i",38628,17/17,Result Declared
Anakapalle,30,KONATHALA RAMAKRISHNA,Janasena Partyi,BHARATH KUMAR MALASALA,"Yuvajana Sramika Rythu Congress Party
i",65764,19/19,Result Declared
Anantapur Urban,153,DAGGUPATI PRASAD,Telugu Desami,ANANTHA VENKATARAMI REDDY,"Yuvajana Sramika Rythu Congress Party
i",23023,21/21,Result Declared
Anaparthy,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Partyi,DOCTOR.SATHI SURYANARAYANA REDDY,"Yuvajana Sramika Rythu Congress Party
i",20850,17/17,Result Declared
Araku Valley,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Partyi,RAJARAO PANGI,"Bharatiya Janata Party
i",31877,23/23,Result Declared
Atmakur,115,ANAM.RAMANARAYANA REDDY,Telugu Desami,MEKAPATI VIKRAM REDDY,"Yuvajana Sramika Rythu Congress Party
i",7576,22/22,Result Declared
Avanigadda,76,BUDDHAPRASAD MANDALI,Janasena Partyi,RAMESH BABU SIMHADRI,"Yuvajana Sramika Rythu Congress Party
i",46434,21/21,Result Declared
Badvel,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Partyi,BOJJA ROSHANNA,"Bharatiya Janata Party
i",18567,20/20,Result Declared
Banaganapalle,140,B.C. JANARDHAN REDDY,Telugu Desami,KATASANI RAMI REDDY,"Yuvajana Sramika Rythu Congress Party
i",25566,24/24,Result Declared
Bapatla,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desami,KONA RAGHUPATHI,"Yuvajana Sramika Rythu Congress Party
i",27768,15/15,Result Declared
Bhimavaram,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Partyi,GRANDHI SRINIVAS,"Yuvajana Sramika Rythu Congress Party
i",66974,17/17,Result Declared
Bhimili,20,GANTA SRINIVASA RAO,Telugu Desami,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),"Yuvajana Sramika Rythu Congress Party
i",92401,26/26,Result Declared
Bobbili,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desami,VENKATA CHINA APPALA NAIDU SAMBANGI,"Yuvajana Sramika Rythu Congress Party
i",44648,19/19,Result Declared
Chandragiri,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desami,CHEVIREDDY MOHITH REDDY,"Yuvajana Sramika Rythu Congress Party
i",43852,20/20,Result Declared
Cheepurupalle,15,KALAVENKATARAO KIMIDI,Telugu Desami,BOTCHA SATYANARAYANA,"Yuvajana Sramika Rythu Congress Party
i",11971,20/20,Result Declared
Chilakaluripet,96,PRATHIPATI PULLARAO,Telugu Desami,KAVATI SIVA NAGA MANOHAR NAIDU,"Yuvajana Sramika Rythu Congress Party
i",33262,18/18,Result Declared
Chintalapudi,68,ROSHAN KUMAR SONGA,Telugu Desami,KAMBHAM VIJAYA RAJU,"Yuvajana Sramika Rythu Congress Party
i",27766,20/20,Result Declared
Chirala,106,MADDULURI MALA KONDAIAH,Telugu Desami,KARANAM VENKATESH,"Yuvajana Sramika Rythu Congress Party
i",20984,16/16,Result Declared
Chittoor,172,GURAJALA JAGAN MOHAN (GJM),Telugu Desami,M.C. VIJAYANANDA REDDY,"Yuvajana Sramika Rythu Congress Party
i",14604,17/17,Result Declared
Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desami,KARANAM DHARMASRI,"Yuvajana Sramika Rythu Congress Party
i",42189,18/18,Result Declared
Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Partyi,GOTTIPATI LAKSHMI,"Telugu Desam
i",2456,21/21,Result Declared
Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu Desami,ABBAYA CHOWDARY KOTHARU,"Yuvajana Sramika Rythu Congress Party
i",26266,18/18,Result Declared
Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata Partyi,KETHIREDDY VENKATA RAMI REDDY,"Yuvajana Sramika Rythu Congress Party
i",3734,21/21,Result Declared
Dhone,141,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desami,BUGGANA RAJA REDDY,"Yuvajana Sramika Rythu Congress Party
i",6049,21/21,Result Declared
Eluru,65,RADHA KRISHNAYYA BADETI,Telugu Desami,ALLA KALI KRISHNA SRINIVAS,"Yuvajana Sramika Rythu Congress Party
i",62388,16/16,Result Declared
Etcherla,7,ESWARA RAO NADUKUDITI,Bharatiya Janata Partyi,KIRAN KUMAR GORLE,"Yuvajana Sramika Rythu Congress Party
i",29089,23/23,Result Declared
Gajapathinagaram,16,KONDAPALLI SRINIVAS,Telugu Desami,APPALANARASAYYA BOTCHA,"Yuvajana Sramika Rythu Congress Party
i",25301,20/20,Result Declared
Gajuwaka,25,PALLA SRINIVAS RAO,Telugu Desami,AVSS AMARNATH GUDIVADA,"Yuvajana Sramika Rythu Congress Party
i",95235,22/22,Result Declared
Gangadhara Nellore (SC),171,DR. VM. THOMAS,Telugu Desami,K. KRUPALAKSHMI,"Yuvajana Sramika Rythu Congress Party
i",26011,20/20,Result Declared
Gannavaram,71,YARLAGADDA VENKATA RAO,Telugu Desami,VAMSI VALLABHANENI,"Yuvajana Sramika Rythu Congress Party
i",37628,23/23,Result Declared
Gannavaram(SC),46,GIDDI. SATYANARAYANA,Janasena Partyi,VIPPARTHI . VENUGOPALARAO,"Yuvajana Sramika Rythu Congress Party
i",33367,19/19,Result Declared
Giddalur,112,ASHOK REDDY MUTHUMULA,Telugu Desami,KUNDURU NAGARJUNA REDDY (KP),"Yuvajana Sramika Rythu Congress Party
i",973,21/21,Result Declared
Gopalapuram,66,MADDIPATI VENKATA RAJU,Telugu Desami,TANETI VANITA,"Yuvajana Sramika Rythu Congress Party
i",26784,18/18,Result Declared
Gudivada,72,VENIGANDLA RAMU,Telugu Desami,KODALI SRI VENKATESWARA RAO (NANI),"Yuvajana Sramika Rythu Congress Party
i",53040,17/17,Result Declared
Gudur,120,PASIM SUNIL KUMAR,Telugu Desami,MERIGA MURALIDHAR,"Yuvajana Sramika Rythu Congress Party
i",21192,21/21,Result Declared
Guntakal,150,GUMMANUR JAYARAM,Telugu Desami,Y. VENKATA RAMA REDDY,"Yuvajana Sramika Rythu Congress Party
i",6826,20/20,Result Declared
Guntur East,95,MOHAMMED NASEER AHMED,Telugu Desami,NOORI FATHIMA SHAIK,"Yuvajana Sramika Rythu Congress Party
i",31962,19/19,Result Declared
Guntur West,94,GALLA MADHAVI,Telugu Desami,RAJINI VIDADALA,"Yuvajana Sramika Rythu Congress Party
i",51150,21/21,Result Declared
Gurajala,100,YARAPATHINENI SRINIVASA RAO,Telugu Desami,KASU MAHESH REDDY,"Yuvajana Sramika Rythu Congress Party
i",29486,23/23,Result Declared
Hindupur,157,NANDAMURI BALAKRISHNA,Telugu Desami,DEEPIKA T N,"Yuvajana Sramika Rythu Congress Party
i",32597,19/19,Result Declared
Ichchapuram,1,ASHOK BENDALAM,Telugu Desami,PIRIYA VIJAYA,"Yuvajana Sramika Rythu Congress Party
i",39783,22/22,Result Declared
Jaggampeta,52,JYOTHULA NEHRU,Telugu Desami,THOTA NARASIMHAM,"Yuvajana Sramika Rythu Congress Party
i",52676,18/18,Result Declared
Jaggayyapeta,84,RAJAGOPAL SREERAM (TATAIAH),Telugu Desami,UDAYA BHANU SAMINENI,"Yuvajana Sramika Rythu Congress Party
i",15977,16/16,Result Declared
Jammalamadugu,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Partyi,MULE SUDHEER REDDY,"Yuvajana Sramika Rythu Congress Party
i",17191,23/23,Result Declared
Kadapa,126,MADHAVI REDDAPPA GARI,Telugu Desami,AMZATH BASHA SHAIK BEPARI,"Yuvajana Sramika Rythu Congress Party
i",18860,21/21,Result Declared
Kadiri,161,KANDIKUNTA VENKATA PRASAD,Telugu Desami,MAQBOOL B.S.,"Yuvajana Sramika Rythu Congress Party
i",6265,21/21,Result Declared
Kaikalur,73,KAMINENI SRINIVAS,Bharatiya Janata Partyi,DULAM NAGESWARA RAO,"Yuvajana Sramika Rythu Congress Party
i",45273,17/17,Result Declared
Kakinada City,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desami,DWARAMPUDI CHANDRASEKHARA REDDY,"Yuvajana Sramika Rythu Congress Party
i",56572,17/17,Result Declared
Kakinada Rural,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Partyi,KURASALA KANNA BABU,"Yuvajana Sramika Rythu Congress Party
i",72040,20/20,Result Declared
Kalyandurg,154,AMILINENI SURENDRA BABU,Telugu Desami,TALARI RANGAIAH,"Yuvajana Sramika Rythu Congress Party
i",37734,19/19,Result Declared
Kamalapuram,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desami,POCHIMAREDDY RAVINDRANATH REDDY,"Yuvajana Sramika Rythu Congress Party
i",25357,18/18,Result Declared
Kandukur,109,INTURI NAGESWARA RAO,Telugu Desami,MADHU SUDHANRAO BURRA,"Yuvajana Sramika Rythu Congress Party
i",18558,20/20,Result Declared
Kanigiri,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desami,DADDALA NARAYANA,"Yuvajana Sramika Rythu Congress Party
i",14604,22/22,Result Declared
Kavali,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desami,RAMIREDDY PRATAP KUMAR REDDY,"Yuvajana Sramika Rythu Congress Party
i",30948,24/24,Result Declared
Kodumur (SC),143,BOGGULA DASTAGIRI,Telugu Desami,AUDIMULAPU SATHISH,"Yuvajana Sramika Rythu Congress Party
i",21583,20/20,Result Declared
Kodur (SC),127,ARAVA SREEDHAR,Janasena Partyi,KORAMUTLA SREENIVASULU,"Yuvajana Sramika Rythu Congress Party
i",11101,18/18,Result Declared
Kondapi (SC),110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desami,AUDIMULAPU SURESH,"Yuvajana Sramika Rythu Congress Party
i",24756,21/21,Result Declared
Kothapeta,47,BANDARU SATYANANDA RAO,Telugu Desami,CHIRLA JAGGIREDDY,"Yuvajana Sramika Rythu Congress Party
i",56479,19/19,Result Declared
Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu Desami,NALLAPAREDDY PRASANNA KUMAR REDDY,"Yuvajana Sramika Rythu Congress Party
i",54583,25/25,Result Declared
Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu Desami,TALARI VENKATA RAO,"Yuvajana Sramika Rythu Congress Party
i",33946,13/13,Result Declared
Kuppam,175,CHANDRABABU NAIDU NARA,Telugu Desami,K.R.J. BHARATH,"Yuvajana Sramika Rythu Congress Party
i",48006,18/18,Result Declared
Kurnool,137,T.G.BHARATH,Telugu Desami,"A. MD. IMTIAZ I.A.S., (RETD)","Yuvajana Sramika Rythu Congress Party
i",18876,19/19,Result Declared
Kurupam,11,JAGADEESWARI THOYAKA,Telugu Desami,PAMULA PUSHPA SREEVANI,"Yuvajana Sramika Rythu Congress Party
i",23500,20/20,Result Declared
Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu Desami,RAMAKRISHNAREDDY. PINNELLI,"Yuvajana Sramika Rythu Congress Party
i",33318,24/24,Result Declared
Machilipatnam,75,KOLLU. RAVINDRA,Telugu Desami,PERNI KRISHNAMURTHY (KITTU),"Yuvajana Sramika Rythu Congress Party
i",50242,15/15,Result Declared
Madakasira (SC),156,M.S.RAJU,Telugu Desami,IRALAKKAPPA.S.L,"Yuvajana Sramika Rythu Congress Party
i",351,18/18,Result Declared
Madanapalle,164,M.SHAJAHAN BASHA,Telugu Desami,S.NISAR AHAMAD,"Yuvajana Sramika Rythu Congress Party
i",5509,19/19,Result Declared
Madugula,27,BANDARU SATYANARAYANA MURTHY,Telugu Desami,ANURADHA ERLI,"Yuvajana Sramika Rythu Congress Party
i",28026,17/17,Result Declared
Mandapeta,48,JOGESWARA RAO.V,Telugu Desami,THOTA TRIMURTHULU,"Yuvajana Sramika Rythu Congress Party
i",44435,23/23,Result Declared
Mangalagiri,87,NARA LOKESH,Telugu Desami,MURUGUDU LAVANYA,"Yuvajana Sramika Rythu Congress Party
i",91413,22/22,Result Declared
