Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Anandapur,22,ABHIMANYU SETHI,Biju Janata Dali,JAYADEV JENA,"Indian National Congress
i",10966,25/25,Result Declared
Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata Partyi,SANJUKTA SINGH,"Biju Janata Dal
i",17433,21/21,Result Declared
Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata Partyi,MANJULA SWAIN,"Biju Janata Dal
i",8059,15/15,Result Declared
Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dali,ABHAYA KUMAR BARIK,"Bharatiya Janata Party
i",3584,19/19,Result Declared
Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dali,SANJEEB KUMAR SAHOO,"Bharatiya Janata Party
i",16153,21/21,Result Declared
Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Partyi,SNEHANGINI CHHURIA,"Biju Janata Dal
i",28910,19/19,Result Declared
Aul,98,PRATAP KESHARI DEB,Biju Janata Dali,DEBASMITA SHARMA,"Indian National Congress
i",19628,32/32,Result Declared
Badasahi,32,SANATAN BIJULI,Bharatiya Janata Partyi,ANASUYA PATRA,"Biju Janata Dal
i",37387,20/20,Result Declared
Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Partyi,SWARUP KUMAR DAS,"Biju Janata Dal
i",28626,18/18,Result Declared
Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dali,UPENDRA PRADHAN,"Indian National Congress
i",1671,19/19,Result Declared
Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dali,SATYA SARATHI MOHANTY,"Bharatiya Janata Party
i",25959,18/18,Result Declared
Bangriposi,29,SANJALI MURMU,Bharatiya Janata Partyi,RANJITA MARNDI,"Biju Janata Dal
i",34476,26/26,Result Declared
Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dali,TUSARA KANTA CHAKRABARTY,"Bharatiya Janata Party
i",17026,18/18,Result Declared
Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congressi,PURNA CHANDRA MAHAPATRA,"Bharatiya Janata Party
i",8001,18/18,Result Declared
Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Partyi,VARSHA PRIYADARSHINI,"Biju Janata Dal
i",6310,19/19,Result Declared
Baramba,87,BIJAYA KUMAR DALABEHERA,Independenti,DEBIPRASAD MISHRA,"Biju Janata Dal
i",23479,22/22,Result Declared
Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Partyi,DEBESH ACHARYA,"Biju Janata Dal
i",4772,17/17,Result Declared
Bari,49,BISWA RANJAN MALLICK,Biju Janata Dali,UMESH CHANDRA JENA,"Bharatiya Janata Party
i",51465,19/19,Result Declared
Baripada,33,PRAKASH SOREN,Bharatiya Janata Partyi,SANANDA MARNDI,"Biju Janata Dal
i",29385,27/27,Result Declared
Basta,37,SUBASINI JENA,Biju Janata Dali,BIJAN NAYAK,"Indian National Congress
i",20377,26/26,Result Declared
Basudevpur,45,ASHOK KUMAR DAS,Indian National Congressi,BISHNUBRATA ROUTRAY,"Biju Janata Dal
i",631,21/21,Result Declared
Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dali,PRAKASHA CHANDRA BIJULI,"Bharatiya Janata Party
i",47814,18/18,Result Declared
Berhampur,133,K. ANIL KUMAR,Bharatiya Janata Partyi,DR. RAMESH CHANDRA CHYAU PATNAIK,"Biju Janata Dal
i",18709,22/22,Result Declared
Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata Partyi,PRAFULLA SAMAL,"Biju Janata Dal
i",16068,19/19,Result Declared
