Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ARITHANG,26,ARUN KUMAR UPRETI,Sikkim Krantikari Morchai,ASHIS RAI,"Sikkim Democratic Front
i",2729,3/3,Result Declared
BARFUNG,9,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morchai,BHAICHUNG BHUTIA,"Sikkim Democratic Front
i",4346,3/3,Result Declared
CHUJACHEN,20,PURAN KR. GURUNG,Sikkim Krantikari Morchai,MANI KUMAR GURUNG,"Sikkim Democratic Front
i",3334,4/4,Result Declared
DARAMDIN,6,MINGMA NORBU SHERPA,Sikkim Krantikari Morchai,PEM NORBU SHERPA,"Sikkim Democratic Front
i",5975,3/3,Result Declared
DJONGU,30,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morchai,SONAM GYATSO LEPCHA,"Sikkim Democratic Front
i",5007,5/5,Result Declared
GANGTOK,27,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morchai,PINTSO CHOPEL LEPCHA,"Sikkim Democratic Front
i",2692,3/3,Result Declared
GNATHANG-MACHONG,21,PAMIN LEPCHA,Sikkim Krantikari Morchai,TSHERING WANGDI LEPCHA,"Sikkim Democratic Front
i",3807,3/3,Result Declared
GYALSHING-BARNYAK,4,LOK NATH SHARMA,Sikkim Krantikari Morchai,KHUSANDRA PRASAD SHARMA,"Independent
i",963,3/3,Result Declared
KABI LUNGCHUK,29,THENLAY TSHERING BHUTIA,Sikkim Krantikari Morchai,GNAWO CHOPEL LEPCHA,"Sikkim Democratic Front
i",1693,4/4,Result Declared
KHAMDONG-SINGTAM,17,NAR BAHADUR DAHAL,Sikkim Krantikari Morchai,MANI KUMAR SHARMA,"Sikkim Democratic Front
i",1739,3/3,Result Declared
LACHEN MANGAN,31,SAMDUP LEPCHA,Sikkim Krantikari Morchai,HISHEY LACHUNGPA,"Sikkim Democratic Front
i",851,3/3,Result Declared
MANEYBONG-DENTAM,3,SUDESH KUMAR SUBBA,Sikkim Krantikari Morchai,TIKA RAM CHETTRI,"Sikkim Democratic Front
i",6039,3/3,Result Declared
MARTAM-RUMTEK,24,SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morchai,MECHUNG BHUTIA,"Sikkim Democratic Front
i",2762,4/4,Result Declared
MELLI,12,NAR BAHADUR PRADHAN,Sikkim Krantikari Morchai,GANESH KUMAR RAI,"Citizen Action Party-Sikkim
i",4283,3/3,Result Declared
NAMCHEYBUNG,22,RAJU BASNET,Sikkim Krantikari Morchai,PAWAN KUMAR CHAMLING,"Sikkim Democratic Front
i",2256,4/4,Result Declared
NAMCHI-SINGHITHANG,11,KRISHNA KUMARI RAI,Sikkim Krantikari Morchai,BIMAL RAI,"Sikkim Democratic Front
i",5302,3/3,Result Declared
NAMTHANG-RATEYPANI,13,SANJEET KHAREL,Sikkim Krantikari Morchai,SUMAN PRADHAN,"Sikkim Democratic Front
i",5605,3/3,Result Declared
POKLOK-KAMRANG,10,BHOJ RAJ RAI,Sikkim Krantikari Morchai,PAWAN KUMAR CHAMLING,"Sikkim Democratic Front
i",3063,3/3,Result Declared
RANGANG-YANGANG,15,RAJ KUMARI THAPA,Sikkim Krantikari Morchai,MANI KUMAR SUBBA,"Sikkim Democratic Front
i",1201,3/3,Result Declared
RHENOCK,19,P S TAMANG,Sikkim Krantikari Morchai,SOM NATH POUDYAL,"Sikkim Democratic Front
i",7044,4/4,Result Declared
RINCHENPONG,5,ERUNG TENZING LEPCHA,Sikkim Krantikari Morchai,NORDEN BHUTIA,"Sikkim Democratic Front
i",6400,3/3,Result Declared
SALGHARI-ZOOM,8,MADAN CINTURY,Sikkim Krantikari Morchai,JANGA BIR DARNAL,"Sikkim Democratic Front
i",2712,2/2,Result Declared
SANGHA,32,SONAM LAMA,Sikkim Krantikari Morchai,TSETEN TASHI BHUTIA,"Bharatiya Janata Party
i",865,3/3,Result Declared
SHYARI,23,TENZING NORBU LAMTHA,Sikkim Democratic Fronti,KUNGA NIMA LEPCHA,"Sikkim Krantikari Morcha
i",1314,3/3,Result Declared
SORENG-CHAKUNG,7,P S TAMANG,Sikkim Krantikari Morchai,DR. A D SUBBA,"Sikkim Democratic Front
i",7396,3/3,Result Declared
TEMI-NAMPHING,14,BEDU SINGH PANTH,Sikkim Krantikari Morchai,SUMAN KUMAR TEWARI,"Sikkim Democratic Front
i",3558,3/3,Result Declared
TUMEN-LINGI,16,SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morchai,NORZONG LEPCHA,"Sikkim Democratic Front
i",4088,4/4,Result Declared
UPPER BURTUK,28,KALA RAI,Sikkim Krantikari Morchai,DILLI RAM THAPA,"Bharatiya Janata Party
i",2568,3/3,Result Declared
UPPER TADONG,25,G.T. DHUNGEL,Sikkim Krantikari Morchai,DR. CHANDRA BAHADUR CHETTRI,"Sikkim Democratic Front
i",4089,4/4,Result Declared
WEST PENDAM,18,LALL BAHADUR DAS,Sikkim Krantikari Morchai,ANUP THATAL,"Sikkim Democratic Front
i",1952,3/3,Result Declared
YANGTHANG,2,BHIM HANG LIMBOO,Sikkim Krantikari Morchai,KESHAM LIMBOO,"Sikkim Democratic Front
i",2556,3/3,Result Declared
YUKSOM TASHIDING,1,TSHERING THENDUP BHUTIA,Sikkim Krantikari Morchai,MEEWANG GYATSO BHUTIA,"Sikkim Democratic Front
i",4812,3/3,Result Declared
